fechaCreacion;Ciudad 1era instancia;Juzgado de origen;Autoridad de conocimiento;Tipo o tema del proceso;Instancia actual del proceso
03/12/2019;Bogotá;5;2;1;2
12/01/2022;Bogotá;15;2;1;2
30/09/2022;Bogotá;18;1;1;1
14/09/2023;Bogotá;44;1;1;1
21/01/2021;Bogotá;9;2;1;2
25/08/2022;Bogotá;32;1;1;1
06/07/2022;Bogotá;21;2;1;2
11/02/2021;Bogotá;2;1;1;1
18/08/2021;Bogotá;36;1;1;1
12/10/2023;Bogotá;13;1;1;1
08/12/2021;Bogotá;38;2;1;2
07/06/2023;Bogotá;43;1;1;1
07/04/2021;Bogotá;5;2;1;2
10/11/2021;Bogotá;15;1;1;1
03/02/2021;Bogotá;20;1;1;1
20/01/2022;Bogotá;34;1;1;1
27/12/2019;Bogotá;39;2;1;2
28/11/2019;Bogotá;32;2;1;2
06/07/2021;Bogotá;16;2;1;2
30/12/2019;Bogotá;28;2;1;2
24/03/2022;Bogotá;10;1;1;1
11/08/2022;Bogotá;27;1;1;1
29/11/2022;Bogotá;27;1;1;1
30/03/2022;Bogotá;24;1;1;1
05/12/2019;Bogotá;11;2;1;2
13/04/2020;Bogotá;10;2;1;2
13/12/2023;Bogotá;22;1;1;1
22/06/2023;Bogotá;18;1;1;1
01/03/2020;Bogotá;28;2;1;2
05/04/2020;Bogotá;15;2;1;2
01/07/2022;Bogotá;27;1;1;1
29/10/2019;Bogotá;33;2;1;2
27/09/2021;Bogotá;31;2;1;2
16/08/2023;Bogotá;45;1;1;1
23/06/2022;Bogotá;4;1;1;2
29/05/2022;Bogotá;15;2;1;2
31/07/2021;Bogotá;24;2;1;2
23/05/2023;Bogotá;42;1;1;1
27/12/2019;Bogotá;41;2;1;2
30/10/2020;Bogotá;7;2;1;2
19/05/2022;Bogotá;12;1;1;1
10/05/2021;Bogotá;3;2;1;2
05/12/2019;Bogotá;36;2;1;2
30/11/2021;Bogotá;26;2;1;2
14/12/2021;Bogotá;22;1;1;1
17/06/2021;Bogotá;15;2;1;2
30/12/2019;Bogotá;14;2;1;2
15/02/2022;Bogotá;38;2;1;2
04/11/2019;Bogotá;24;2;1;2
05/12/2019;Bogotá;2;2;1;2
10/09/2020;Bogotá;31;2;1;2
19/01/2021;Bogotá;1;2;1;2
30/08/2023;Bogotá;17;1;1;1
21/10/2019;Bogotá;3;2;1;2
29/10/2019;Bogotá;41;2;1;2
27/01/2021;Bogotá;2;1;1;1
14/07/2021;Bogotá;39;2;1;2
05/12/2019;Bogotá;22;2;1;2
15/04/2021;Bogotá;7;1;1;1
05/04/2020;Bogotá;4;2;1;2
26/09/2022;Bogotá;34;1;1;1
09/06/2021;Bogotá;30;2;1;2
17/11/2021;Bogotá;9;2;1;2
11/08/2020;Bogotá;35;2;1;2
04/11/2020;Bogotá;15;2;1;2
26/09/2022;Bogotá;4;1;1;1
31/05/2023;Bogotá;18;1;5;1
29/05/2022;Bogotá;35;2;1;2
27/07/2023;Bogotá;6;1;1;1
17/10/2019;Bogotá;5;2;1;2
30/12/2019;Bogotá;37;2;1;2
13/10/2023;Bogotá;6;1;1;1
17/10/2019;Bogotá;27;2;1;2
24/02/2022;Bogotá;21;2;1;2
24/01/2023;Bogotá;19;1;1;1
05/04/2020;Bogotá;21;2;1;2
25/08/2021;Bogotá;18;2;1;2
03/12/2019;Bogotá;17;2;1;2
06/04/2020;Bogotá;21;2;1;2
23/11/2022;Bogotá;4;1;1;1
11/04/2022;Bogotá;1;1;1;1
14/03/2022;Bogotá;22;1;1;1
10/03/2021;Bogotá;35;2;1;2
30/12/2019;Bogotá;31;2;1;2
24/08/2021;Bogotá;23;2;1;2
29/10/2019;Bogotá;28;2;1;2
25/06/2021;Bogotá;37;2;1;2
30/12/2019;Bogotá;31;2;1;2
01/02/2020;Bogotá;26;2;1;2
01/02/2020;Bogotá;21;2;1;2
01/06/2023;Bogotá;46;1;1;1
12/10/2023;Bogotá;47;1;4;1
11/04/2022;Bogotá;28;1;1;2
12/09/2022;Bogotá;26;1;1;2
21/04/2021;Bogotá;26;2;1;2
03/12/2019;Bogotá;23;2;1;2
16/01/2023;Bogotá;3;1;1;1
16/02/2020;Bogotá;35;2;1;2
28/09/2020;Bogotá;17;2;1;2
29/11/2020;Bogotá;29;2;1;2
08/06/2023;Bogotá;42;1;5;1
09/02/2021;Bogotá;35;1;1;2
06/11/2019;Bogotá;4;2;1;2
17/10/2019;Bogotá;11;2;1;2
13/09/2021;Bogotá;23;2;1;2
01/07/2022;Bogotá;5;2;1;2
04/03/2021;Bogotá;19;1;1;1
18/01/2021;Bogotá;9;2;1;2
01/12/2022;Bogotá;18;1;1;1
01/06/2022;Bogotá;23;2;1;2
27/12/2019;Bogotá;27;2;1;2
17/10/2019;Bogotá;10;2;1;2
11/08/2021;Bogotá;24;2;1;2
13/07/2021;Bogotá;29;2;1;2
27/05/2021;Bogotá;23;2;1;2
11/07/2022;Bogotá;32;1;1;1
06/11/2020;Bogotá;23;2;1;2
16/12/2019;Bogotá;10;2;1;2
19/10/2019;Bogotá;35;2;1;2
09/02/2020;Bogotá;37;2;1;2
10/07/2022;Bogotá;5;2;1;2
30/12/2019;Bogotá;28;2;1;2
26/08/2021;Bogotá;3;2;1;2
10/03/2022;Bogotá;35;2;1;2
24/10/2019;Bogotá;10;2;1;2
25/04/2023;Bogotá;5;1;1;1
28/11/2022;Bogotá;23;1;1;2
11/12/2020;Bogotá;19;2;1;2
21/05/2021;Bogotá;4;2;1;2
21/04/2021;Bogotá;12;2;1;2
08/01/2020;Bogotá;39;2;1;2
04/03/2021;Bogotá;27;2;1;2
16/12/2019;Bogotá;15;2;1;2
03/06/2021;Bogotá;14;2;1;2
11/08/2022;Bogotá;26;1;1;1
19/12/2022;Bogotá;3;1;1;1
23/07/2021;Bogotá;19;1;1;1
13/07/2021;Bogotá;26;1;1;1
16/03/2023;Bogotá;40;1;1;1
16/02/2021;Bogotá;31;2;1;2
18/08/2021;Bogotá;20;2;1;2
22/12/2020;Bogotá;17;2;1;2
10/02/2022;Bogotá;1;1;1;1
18/11/2019;Bogotá;26;2;1;2
05/05/2021;Bogotá;7;2;1;2
14/03/2021;Bogotá;29;2;1;2
14/06/2022;Bogotá;36;1;1;1
27/04/2023;Bogotá;18;1;1;1
28/04/2022;Bogotá;19;1;1;1
21/02/2022;Bogotá;24;2;1;2
18/08/2023;Bogotá;41;1;1;1
07/12/2020;Bogotá;35;2;1;2
28/10/2022;Bogotá;36;1;1;1
06/10/2020;Bogotá;7;1;1;1
22/11/2022;Bogotá;36;1;1;1
06/10/2023;Bogotá;47;1;1;1
05/12/2022;Bogotá;32;1;1;1
